GlaThiDa_ID,SURVEY_FREQUENCY,SURVEY_METHOD,MAXIMUM_THICKNESS
2092,50,GPRt,174
2094,7,GPRt,314
2095,100,GPRt,14
2096,100,GPRt,66
2097,100,GPRt,72
2098,100,GPRt,177
2099,100,GPRt,148
2100,300,GPRt,121
2101,5,GPRt,154
2102,100,GPRt,68
2103,100,GPRt,169
2104,9,GPRt,241
2105,9,GPRt,158
2106,9,GPRt,241
2107,9,GPRt,163
2108,10,GPRt,557
2109,20,GPRt,191
2110,20,GPRt,108
2111,20,GPRt,106
2112,20,GPRt,190
2113,20,GPRt,266
2114,20,GPRt,64
2115,20,GPRt,122
2116,20,GPRt,87
2117,20,GPRt,106
2118,20,GPRt,87
2119,20,GPRt,103
2120,20,GPRt,103
2121,20,GPRt,214
2122,20,GPRt,51
2123,15,GPRt,191
2124,100,GPRt,54
2125,30,GPRh,436
2126,70,GPRh,252
2127,70,GPRh,35
2128,70,GPRh,57
2129,NaN,GPRh,32
2130,70,GPRh,85
2131,70,GPRh,229
2132,70,GPRh,168
2133,70,GPRh,147
2134,NaN,GPRh,256
2135,70,GPRh,259
2136,70,GPRh,60
2137,70,GPRh,111
2138,70,GPRh,53
2139,70,GPRh,53
2140,70,GPRh,32
2141,70,GPRh,156
2142,70,GPRh,138
2143,30,GPRh,452
2144,102.5,GPRh,127
2145,70,GPRh,252
2146,30,GPRh,58
2147,70,GPRh,238
2148,102.5,GPRh,590
2149,102.5,GPRh,386
2150,25,GPRt,245
2151,30,GPRh,52
2152,70,GPRh,107
2153,102.5,GPRh,76
2154,70,GPRh,116
2155,70,GPRh,89
2156,30,GPRh,168
2157,30,GPRh,131
2158,70,GPRh,172
2159,30,GPRh,106
2160,70,GPRh,190
2161,70,GPRh,247
2162,70,GPRh,156
2163,102.5,GPRh,73
2164,70,GPRh,183
2165,30,GPRh,140
2166,70,GPRh,138
2167,70,GPRh,271
2168,30,GPRh,256
2169,70,GPRh,180
2170,102.5,GPRh,157
2171,NaN,GPRh,146
2172,70,GPRh,90
2173,30,GPRh,77
2174,30,GPRh,65
2175,70,GPRh,90
2176,70,GPRh,83
2177,70,GPRh,57
2178,70,GPRh,173
2179,30,GPRh,333
2180,70,GPRh,147
2181,70,GPRh,223
2182,70,GPRh,116
2183,70,GPRh,100
2184,30,GPRh,364
2185,30,GPRh,157
2186,70,GPRh,220
2187,70,GPRh,271
2188,60,GPRa,451
2189,20,GPRt,387
2190,60,GPRa,422
2191,60,GPRa,581
2192,20,GPRt,565
2193,60,GPRa,471
2194,20,GPRt,439
2195,60,GPRa,582
2196,20,GPRt,500
2197,60,GPRa,480
2198,60,GPRa,496
2199,60,GPRa,250
2200,60,GPRa,180
2201,60,GPRa,343
2202,60,GPRa,204
2203,10,GPRt,357
2204,10,GPRt,359
2205,60,GPRa,315
2206,60,GPRa,261
2207,60,GPRa,324
2208,10,GPRt,299
2209,60,GPRa,242
2210,60,GPRa,202
2211,60,GPRa,220
2212,60,GPRa,316
2213,60,GPRa,224
2214,60,GPRa,353
2215,10,GPRt,376
2216,10,GPRt,376
2217,60,GPRa,330
2218,60,GPRa,309
2219,60,GPRa,273
2220,60,GPRa,183
2221,60,GPRa,301
2222,60,GPRa,313
2223,60,GPRa,600
2224,60,GPRa,296
2225,60,GPRa,325
2226,60,GPRa,206
2227,60,GPRa,261
2228,60,GPRa,177
2229,60,GPRa,184
2230,60,GPRa,110
2231,60,GPRa,203
2232,60,GPRa,209
2233,60,GPRa,182
2234,60,GPRa,209
2235,60,GPRa,119
2236,60,GPRa,162
2237,25,GPRt,349
2238,25,GPRt,168
2239,60,GPRa,102
2240,25,GPRt,82
2241,20,GPRt,454
2242,60,GPRh,256
2243,60,GPRh,241
2244,30,GPRt,269
2245,60,GPRh,230
2246,60,GPRh,313
2247,NaN,DRIh,206
2248,NaN,DRIh,330
2249,NaN,DRIh,290
2250,25,GPRt,387
2251,20,GPRh,317
2252,60,GPRh,219
2253,25,GPRt,123
2254,20,GPRt,544
2255,20,GPRh,619
2256,NaN,DRIm,586
2257,25,GPRt,305
2258,20,GPRh,526
2259,60,GPRh,225
2260,25,GPRt,279
2261,60,GPRh,19
2262,60,GPRa,166
2263,60,GPRa,277
2264,60,GPRa,252
2265,60,GPRa,286
2266,60,GPRa,292
2267,60,GPRa,256
2268,60,GPRa,320
2269,60,GPRa,213
2270,60,GPRa,199
2271,60,GPRa,203
2272,60,GPRa,235
2273,60,GPRa,322
2274,60,GPRa,233
2275,60,GPRa,79
2276,60,GPRa,345
2277,60,GPRa,176
2278,60,GPRa,311
2279,20,GPRt,647
2280,20,GPRh,618
2281,20,GPRt,534
2282,60,GPRa,428
2283,60,GPRa,321
2284,60,GPRa,255
2285,60,GPRa,223
2286,60,GPRa,296
2287,60,GPRa,208
2288,60,GPRa,410
2289,60,GPRa,326
2290,30,GPRt,284
2291,30,GPRt,251
2292,50,GPRt,79
2293,50,GPRt,122
2294,12.5,GPRt,247
2295,50,GPRt,220
2296,50,GPRt,231
2297,6.5,GPRt,228
2298,50,GPRt,162
2299,50,GPRt,134
2300,12.5,GPRt,257
2301,50,GPRt,256
2302,50,GPRt,162
2303,50,GPRt,252
2304,50,GPRt,172
2305,12.5,GPRt,68
2306,50,GPRt,91
2307,60,GPRa,318
2308,12.5,GPRt,301
2309,50,GPRt,281
2310,50,GPRt,279
2311,50,GPRt,213
2312,6.5,GPRt,267
2313,60,GPRa,258
2314,60,GPRa,241
2315,60,GPRa,308
2316,60,GPRa,475
2317,60,GPRa,584
2318,60,GPRa,563
2319,20,GPRt,592
2320,60,GPRa,270
2321,60,GPRa,438
2322,60,GPRa,401
2323,8,GPRt,338
2324,60,GPRa,146
2325,NaN,DRIh,124
2326,12.5,GPRt,184
2327,50,GPRt,176
2328,50,GPRt,163
2329,5,GPRt,183
2330,25,GPRt,418
2331,60,GPRa,120
2332,NaN,DRIh,107
2333,NaN,DRIh,106
2334,12.5,GPRt,123
2335,60,GPRa,235
2336,60,GPRa,371
2337,8,GPRt,328
2338,12.5,GPRt,293
2339,60,GPRa,304
2340,8,GPRt,278
2341,12.5,GPRt,252
2342,8,GPRt,297
2343,10,GPRt,48
2344,10,GPRt,143
2345,10,GPRh,135
2346,10,GPRh,85
2347,10,GPRt,384
2348,10,GPRh,298
2349,10,GPRh,344
2350,60,GPRa,375
2351,60,GPRa,227
2352,10,GPRt,283
2353,10,GPRt,393
2354,10,GPRh,210
2355,60,GPRa,592
2356,NaN,DRIh,567
2357,20,GPRt,590
2358,60,GPRa,557
2359,20,GPRt,581
2360,10,GPRh,421
2361,15,GPRt,613
2362,60,GPRa,429
2363,20,GPRt,395
2364,60,GPRa,573
2365,20,GPRt,567
2366,60,GPRa,531
2367,20,GPRt,459
2368,60,GPRa,362
2369,60,GPRa,135
2370,60,GPRa,358
2371,60,GPRa,371
2372,20,GPRt,399
2373,60,GPRa,149
2374,60,GPRa,196
2375,60,GPRa,307
2376,60,GPRa,351
2377,60,GPRa,133
2378,NaN,DRIm,86
2379,60,GPRa,220
2380,60,GPRa,319
2381,60,GPRa,251
2382,60,GPRa,355
2383,60,GPRa,300
2384,60,GPRa,297
